"Parlamentar","Partido","UF","Cargo","Genero","Cargo_MesaDiretora"
"Abigail Feitosa","PMDB","BA","Deputado","Female","Sem cargo"
"Acival Gomes","PMDB","SE","Deputado","Male","Sem cargo"
"Adauto Pereira","PDS","PB","Deputado","Male","Sem cargo"
"Ademir Andrade","PMDB","PA","Deputado","Male","Sem cargo"
"Adhemar De Barros Filho","PDT","SP","Deputado","Male","Sem cargo"
"Adolfo Oliveira","PL","RJ","Deputado","Male","Sem cargo"
"Adroaldo Streck","PDT","RS","Deputado","Male","Sem cargo"
"Adylson Motta","PDS","RS","Deputado","Male","Sem cargo"
"Aécio De Borda","PDS","CE","Deputado","Male","Sem cargo"
"Aécio Neves","PMDB","MG","Deputado","Male","Sem cargo"
"Afif Domingos","PL","SP","Deputado","Male","Sem cargo"
"Agassiz Almeida","PMDB","PB","Deputado","Male","Sem cargo"
"Agripino De Oliveira Lima","PFL","SP","Deputado","Male","Sem cargo"
"Airton Cordeiro","PDT","PR","Deputado","Male","Sem cargo"
"Airton Sandoval","PMDB","SP","Deputado","Male","Sem cargo"
"Alair Ferreira","PFL","RJ","Deputado","Male","Sem cargo"
"Alarico Abib","PMDB","PR","Deputado","Male","Sem cargo"
"Albérico Cordeiro","PFL","AL","Deputado","Male","Sem cargo"
"Albérico Filho","PMDB","MA","Deputado","Male","Sem cargo"
"Alceni Guerra","PFL","PR","Deputado","Male","Sem cargo"
"Alcides Saldanha","PMDB","RS","Deputado","Male","Sem cargo"
"Aldo Arantes","PMDB","GO","Deputado","Male","Sem cargo"
"Alércio Dias","PFL","AC","Deputado","Male","Sem cargo"
"Alexandre Puzyna","PMDB","SC","Deputado","Male","Sem cargo"
"Aloísio Vasconcelos","PMDB","MG","Deputado","Male","Sem cargo"
"Aloysio Chaves","PFL","PA","Deputado","Male","Sem cargo"
"Aloysio Teixeira","PMDB","RJ","Deputado","Male","Sem cargo"
"Aluízio Campos","PMDB","PB","Deputado","Male","Sem cargo"
"Alvaro Antonio","PMDB","MG","Deputado","Male","Sem cargo"
